system,scenario,valuesize,type,ops,p99latency(ms)
Badger,ycsba,64b,read,50341.3,0.944
Badger,ycsba,64b,write,49753.4,1.696
Badger,ycsba,256b,read,45266.5,1.959
Badger,ycsba,256b,write,44755.5,5.303
Badger,ycsba,512b,read,41592.9,2.837
Badger,ycsba,512b,write,41194.7,5.359
Badger,ycsba,1024b,read,36285.8,9.375
Badger,ycsba,1024b,write,35824.8,19.967
Badger,ycsba,4096b,read,19089.5,31.007
Badger,ycsba,4096b,write,18936.1,54.367
Badger,ycsbb,64b,read,223338.2,1.181
Badger,ycsbb,64b,write,11647.6,2.359
Badger,ycsbb,256b,read,223732.9,1.652
Badger,ycsbb,256b,write,11726.5,2.669
Badger,ycsbb,512b,read,214372.4,1.491
Badger,ycsbb,512b,write,11214.6,2.405
Badger,ycsbb,1024b,read,197772.5,5.615
Badger,ycsbb,1024b,write,10425.6,6.687
Badger,ycsbb,4096b,read,127722.8,8.879
Badger,ycsbb,4096b,write,6719.5,16.087
Badger,ycsbe,64b,insert,1464.5,2.121
Badger,ycsbe,64b,scan,27787.7,19.007
Badger,ycsbe,256b,insert,1311.2,5.539
Badger,ycsbe,256b,scan,25136.3,17.279
Badger,ycsbe,512b,insert,1108.9,5.807
Badger,ycsbe,512b,scan,20916.2,16.591
Badger,ycsbe,1024b,insert,794.8,13.375
Badger,ycsbe,1024b,scan,15097.1,19.839
Badger,ycsbe,4096b,insert,404.7,58.335
Badger,ycsbe,4096b,scan,7654.4,90.559
Badger,ycsbf,64b,read,84572.9,1.456
Badger,ycsbf,64b,read-modify-write,42228.6,8.583
Badger,ycsbf,64b,write,41835.6,2.941
Badger,ycsbf,256b,read,76964.3,3.543
Badger,ycsbf,256b,read-modify-write,38456.4,6.303
Badger,ycsbf,256b,write,38121.8,4.195
Badger,ycsbf,512b,read,70372,4.687
Badger,ycsbf,512b,read-modify-write,35133.9,9.831
Badger,ycsbf,512b,write,34830.5,5.563
Badger,ycsbf,1024b,read,59747.3,9.295
Badger,ycsbf,1024b,read-modify-write,29856.7,27.119
Badger,ycsbf,1024b,write,29596.5,11.903
Badger,ycsbf,4096b,read,33812.9,36.223
Badger,ycsbf,4096b,read-modify-write,16888.2,51.231
Badger,ycsbf,4096b,write,16730.6,41.919
